category,exercise_id,level,youtube_url,start_time,end_time
warmup,warmup_shoulder_band,0,https://www.youtube.com/watch?v=Vwn5hSf3WEg,0:01,0:15
warmup,warmup_squat_sky,0,https://www.youtube.com/watch?v=muF-knm3HCc,0:06,0:12
warmup,warmup_squat_sky,1,https://www.youtube.com/watch?v=lbozu0DPcYI,0:48,0:51
warmup,warmup_squat_sky,2,https://www.youtube.com/watch?v=lbozu0DPcYI,1:00,1:06
warmup,warmup_deadbugs,1,https://www.youtube.com/watch?v=40DaoUoZErA&list=TLGGjIcsV5-mVPQwOTExMjAyNQ,0:00,0:02
warmup,warmup_deadbugs,2,https://www.youtube.com/watch?v=Z66M-FJMc9U&list=TLGG4NAvMJwMBAMwOTExMjAyNQ,0:00,0:03
warmup,warmup_deadbugs,3,https://www.youtube.com/watch?v=poHD1k4VMeI&list=TLGGhLFO_PB3wF4wOTExMjAyNQ,0:00,0:03
warmup,warmup_deadbugs,4,https://www.youtube.com/watch?v=HFv2WwgeVMk&list=TLGG2_Gn_3OGkAEwOTExMjAyNQ,0:00,0:03
warmup,warmup_deadbugs,5,https://www.youtube.com/watch?v=D1AIAl9UPVU&list=TLGG6v4Pl78buz0wOTExMjAyNQ,0:00,0:03
warmup,warmup_arch_hangs,0,https://www.youtube.com/watch?v=HoE-C85ZlCE,0:18,0:21
warmup,warmup_arch_hangs,1,https://www.youtube.com/watch?v=C995b3KLXS4,0:18,0:25
warmup,warmup_support_hold,2,https://www.youtube.com/watch?v=-4IF7z6A71s,0:06,0:09
strength,strength_pullup,0,https://www.youtube.com/watch?v=HoE-C85ZlCE,0:18,0:21
strength,strength_pullup,1,https://www.youtube.com/watch?v=C995b3KLXS4,0:18,0:25
strength,strength_pullup,2,https://www.youtube.com/watch?v=EkpJkHpJXmM,0:00,0:13
strength,strength_pullup,3,https://www.youtube.com/watch?v=eGo4IYlbE5g,0:01,0:06
strength,strength_pullup,4,https://www.youtube.com/watch?v=eGo4IYlbE5g,0:01,0:06
strength,strength_pullup,5,https://www.youtube.com/watch?v=qeGS55RHBUU,0:01,0:04
strength,strength_pullup,6,https://www.youtube.com/watch?v=qeGS55RHBUU,0:01,0:04
